userID,firstName,lastName,email,ipAddress,locationID
1,Deana,Cappineer,dcappineer0@skype.com,78.74.203.61,
2,Isidor,Arons,iarons1@odnoklassniki.ru,255.113.174.58,1
3,,,elinnard2@hexun.com,,
4,,,cmcnelis3@apache.org,221.112.139.45,2
5,Lindi,Seeger,lseeger4@delicious.com,174.50.175.105,3
6,,,,242.75.38.74,4
7,,,cskippings6@xing.com,42.4.179.116,5
8,,,jgallgher7@paginegialle.it,,6
9,,,ecoveny8@skype.com,240.197.90.163,7
10,,,ngaymer9@sphinn.com,69.29.172.104,8
11,,,gbannarda@ovh.net,14.88.155.1,9
12,Devon,Place,dplaceb@amazonaws.com,56.33.42.134,10
13,Mel,Iceton,micetonc@hhs.gov,65.79.73.175,
14,Amelie,Dearan,adearand@wikimedia.org,134.186.111.1,11
15,Ranee,Cleverly,rcleverlye@ning.com,,12
16,,,fcantwellf@japanpost.jp,109.187.106.7,13
17,Gerrie,Pattemore,gpattemoreg@dmoz.org,162.160.35.18,14
18,Bendix,Alphege,balphegeh@ocn.ne.jp,243.185.216.55,15
19,,,pambrogiottii@irs.gov,197.201.13.252,16
20,Hyacinth,Adkin,hadkinj@nba.com,173.127.59.30,
21,Forbes,Dorset,fdorsetk@sphinn.com,143.227.134.249,18
22,,,ktolussil@qq.com,,19
23,Tedd,Rymell,trymellm@uol.com.br,65.124.46.76,20
24,Jodi,Curwood,,218.76.212.11,21
25,Wald,Le Breton De La Vieuville,wleo@blogger.com,171.207.241.2,22
26,,,mpoletp@smugmug.com,197.59.235.24,23
27,Opalina,Roome,oroomeq@mlb.com,211.129.151.66,24
28,Elyssa,Poulsum,epoulsumr@google.com.br,,
29,Laryssa,Andrusyak,landrusyaks@etsy.com,135.30.33.58,
30,Kevon,Odeson,kodesont@netlog.com,28.172.65.66,25
31,,,mriselyu@bandcamp.com,55.240.138.219,26
32,Jeralee,Gooddy,jgooddyv@geocities.com,2.110.199.64,27
